Category,Place Name,Area,Full Address,Latitude,Longitude


Stadium,M. A. Chidambaram Stadium,Chepauk,"1, Wallajah Road, Chepauk, Chennai, Tamil Nadu 600005",13.0627,80.2794
Stadium,Jawaharlal Nehru Stadium,Periamet,"Raja Muthiah Road, Periamet, Chennai, Tamil Nadu 600003",13.0827,80.2759
Stadium,Mayor Radhakrishnan Hockey Stadium,Egmore,"30 Gandhi Irwin Road, Egmore, Chennai, Tamil Nadu 600008",13.0748,80.2645
Stadium,SDAT Tennis Stadium,Nungambakkam,"Lake Area, Nungambakkam, Chennai, Tamil Nadu 600034",13.0663,80.2422
Stadium,Rajarathinam Stadium,Egmore,"Rukmani Lakshmipathi Road, Egmore, Chennai, Tamil Nadu 600002",13.0716,80.2656
Stadium,ICF Stadium,Ayanavaram,"Apprentices Avenue, Ayanavaram, Chennai, Tamil Nadu 600038",13.1048,80.2316
Stadium,SDAT Multi Purpose Indoor Stadium,Periamet,"Raja Muthiah Road, Periamet, Chennai, Tamil Nadu 600003",13.0824,80.2765

Sports Complex,Corporation Sports Complex,Shenoy Nagar,"E Club Road, Shenoy Nagar, Chennai, Tamil Nadu 600030",13.0799,80.2225
Sports Complex,Safiyah Burhaniyah Sports Complex,George Town,"Thiruvalluvar Nagar, George Town, Chennai, Tamil Nadu 600001",13.0958,80.2890
Sports Complex,Palm Grove Sports Complex,Park Town,"Anna Salai, Park Town, Chennai, Tamil Nadu 600009",13.0729,80.2810
Sports Complex,CTC Sports Arena,Kalipattur,"Gateway School Road, Kalipattur, Chennai, Tamil Nadu 603103",12.8475,80.2260
Sports Complex,Whistle Urban Sports Hub,Thousand Lights,"Pycrofts Garden Road, Thousand Lights, Chennai, Tamil Nadu 600006",13.0609,80.2548
Sports Complex,Sitara Indoor Sports Complex,IIT Madras,"Play Field Avenue, IIT Madras, Chennai, Tamil Nadu 600036",12.9915,80.2337

Go-Karting,Kart Attack,Akkarai,"7 Palm Garden Road, Akkarai, Panaiyur, Chennai, Tamil Nadu 600119",12.9138,80.2512
Go-Karting,ECR Speedway,Uthandi,"Near Uthandi Bus Stand, East Coast Road, Kanathur, Chennai, Tamil Nadu 600119",12.8647,80.2492
Go-Karting,Gokart by ECR,Injambakkam,"East Coast Road, Injambakkam, Chennai, Tamil Nadu 600115",12.9198,80.2505
Go-Karting,Pallava Layout Go Karting,Akkarai,"Pallava Layout, Akkarai, Chennai, Tamil Nadu 600119",12.9109,80.2496]


Adventure Park,MGM Dizzee World,Muttukadu,"1/74, East Coast Road, Muttukadu, Chennai, Tamil Nadu 603112",12.8249,80.2484
Adventure Park,VGP Universal Kingdom,Injambakkam,"SH 49, Injambakkam, Chennai, Tamil Nadu 600115",12.9168,80.2517
Adventure Park,Snow Kingdom,Injambakkam,"Next to VGP Universal Kingdom, SH 49, Injambakkam, Chennai, Tamil Nadu 600115",12.9165,80.2516
Adventure Park,Dugout Trampoline Park & Sports Arena,Egattur,"Marina Mall, Rajiv Gandhi Salai, Egattur, Chennai, Tamil Nadu 600130",12.8429,80.2278
Adventure Park,SkyJumper Trampoline Park,Velachery,"Grand Square Mall, Velachery, Chennai, Tamil Nadu 600042",12.9798,80.2209
Adventure Park,Go Xtreme Adventures,Uthandi,"VGP 2nd Main Road, Uthandi, Chennai, Tamil Nadu 600119",12.8663,80.2487
Adventure Park,Dugout Inflatable Park,Velachery,"Grand Square Mall, Velachery, Chennai, Tamil Nadu 600042",12.9798,80.2209

Indoor Sports,SDAT Multi Purpose Indoor Stadium,Periamet,"Raja Muthiah Road, Periamet, Chennai, Tamil Nadu 600003",13.0824,80.2765
Indoor Sports,Sitara Indoor Sports Complex,IIT Madras,"Play Field Avenue, IIT Madras, Chennai, Tamil Nadu 600036",12.9915,80.2337
Indoor Sports,BIG DREAMS Indoor Sports Hub,Ramapuram,"Pudupet Street, Ramapuram, Chennai, Tamil Nadu 600016",13.0298,80.1846
Indoor Sports,Dugout Sports,Velachery,"Grand Square Mall, Velachery, Chennai, Tamil Nadu 600042",12.9798,80.2209
Indoor Sports,Nassaa Uth Hub,Besant Nagar,"Besant Nagar, Chennai, Tamil Nadu",13.0006,80.2669
Indoor Sports,Nassaa Uth Hub,OMR,"Rajiv Gandhi Salai, Chennai, Tamil Nadu",12.9147,80.2298
Indoor Sports,Nassaa Uth Hub,Injambakkam,"Injambakkam, Chennai, Tamil Nadu 600115",12.9187,80.2523
Indoor Sports,HIT N RUN,Kilpauk,"Halls Road, Kilpauk, Chennai, Tamil Nadu 600010",13.0788,80.2467
Indoor Sports,Whistle Urban Sports Hub,Thousand Lights,"Pycrofts Garden Road, Thousand Lights, Chennai, Tamil Nadu 600006",13.0608,80.2548
Indoor Sports,CTC Sports Arena,Kalipattur,"Gateway School Road, Kalipattur, Chennai, Tamil Nadu 603103",12.8475,80.2260
