Shopping_ID,Subcategory,Source_Dataset,Store_ID,Store_Name,Locality,Store_Type,Main_Categories,Chennai_Zone,Address,Phone,Rating,Review_Count,Verification_Status,Main_Products,Data_Status,Market_ID,Market_Name,Shopping_Categories,Market_Type,Operating_Days,Typical_Operating_Time,Mall_Name,Type,Developer_or_Group,Notes,Interest_Category
1,Book Stores,chennai_book_stores_100_plus(1).csv,1.0,Higginbothams - Mount Road,Anna Salai,Book Store,"Books, magazines, stationery",Central Chennai,,,,,Known institution/brand - verify current outlet,,,,,,,,,,,,,Shopping Interest
2,Book Stores,chennai_book_stores_100_plus(1).csv,2.0,Higginbothams - Anna Nagar,Anna Nagar,Book Store,"Books, stationery",West Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
3,Book Stores,chennai_book_stores_100_plus(1).csv,3.0,Higginbothams - Besant Nagar,Besant Nagar,Book Store,"Books, magazines",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
4,Book Stores,chennai_book_stores_100_plus(1).csv,4.0,Higginbothams - Adyar,Adyar,Book Store,"Books, magazines, stationery",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
5,Book Stores,chennai_book_stores_100_plus(1).csv,5.0,Higginbothams - Velachery,Velachery,Book Store,"Books, stationery",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
6,Book Stores,chennai_book_stores_100_plus(1).csv,6.0,Higginbothams - T Nagar,T. Nagar,Book Store,"Books, magazines, stationery",South/Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
7,Book Stores,chennai_book_stores_100_plus(1).csv,7.0,Higginbothams - Egmore,Egmore,Book Store,"Books, magazines",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
8,Book Stores,chennai_book_stores_100_plus(1).csv,8.0,Higginbothams - Nungambakkam,Nungambakkam,Book Store,"Books, magazines, stationery",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
9,Book Stores,chennai_book_stores_100_plus(1).csv,9.0,Higginbothams - Tambaram,Tambaram,Book Store,"Books, stationery",Chennai Metropolitan Area,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
10,Book Stores,chennai_book_stores_100_plus(1).csv,10.0,Higginbothams - Chromepet,Chromepet,Book Store,"Books, stationery",Chennai Metropolitan Area,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
11,Book Stores,chennai_book_stores_100_plus(1).csv,11.0,Odyssey - Adyar,Adyar,Book Store,"Books, gifts, stationery",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
12,Book Stores,chennai_book_stores_100_plus(1).csv,12.0,Odyssey - Anna Nagar,Anna Nagar,Book Store,"Books, gifts, stationery",West Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
13,Book Stores,chennai_book_stores_100_plus(1).csv,13.0,Odyssey - Besant Nagar,Besant Nagar,Book Store,"Books, gifts, stationery",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
14,Book Stores,chennai_book_stores_100_plus(1).csv,14.0,Odyssey - T Nagar,T. Nagar,Book Store,"Books, gifts, stationery",South/Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
15,Book Stores,chennai_book_stores_100_plus(1).csv,15.0,Odyssey - Velachery,Velachery,Book Store,"Books, gifts, stationery",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
16,Book Stores,chennai_book_stores_100_plus(1).csv,16.0,Odyssey - Nungambakkam,Nungambakkam,Book Store,"Books, gifts, stationery",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
17,Book Stores,chennai_book_stores_100_plus(1).csv,17.0,Crossword - Phoenix Marketcity,Velachery,Book Store,"Books, gifts, stationery",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
18,Book Stores,chennai_book_stores_100_plus(1).csv,18.0,Crossword - Express Avenue,Royapettah,Book Store,"Books, gifts, stationery",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
19,Book Stores,chennai_book_stores_100_plus(1).csv,19.0,Crossword - VR Chennai,Anna Nagar,Book Store,"Books, gifts, stationery",West Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
20,Book Stores,chennai_book_stores_100_plus(1).csv,20.0,Crossword - Forum Vijaya Mall,Vadapalani,Book Store,"Books, gifts, stationery",West Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
21,Book Stores,chennai_book_stores_100_plus(1).csv,21.0,Crossword - Chennai Citi Centre,Mylapore,Book Store,"Books, gifts, stationery",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
22,Book Stores,chennai_book_stores_100_plus(1).csv,22.0,Crossword - Ampa Skywalk,Aminjikarai,Book Store,"Books, gifts, stationery",Central/West Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
23,Book Stores,chennai_book_stores_100_plus(1).csv,23.0,Landmark - T Nagar,T. Nagar,Book Store,"Books, stationery, gifts",South/Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
24,Book Stores,chennai_book_stores_100_plus(1).csv,24.0,Landmark - Spencer Plaza,Anna Salai,Book Store,"Books, stationery, gifts",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
25,Book Stores,chennai_book_stores_100_plus(1).csv,25.0,Landmark - Express Avenue,Royapettah,Book Store,"Books, stationery, gifts",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
26,Book Stores,chennai_book_stores_100_plus(1).csv,26.0,New Century Book House - Ambattur,Ambattur,Book Store,"Academic, competitive exam, Tamil books",West Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
27,Book Stores,chennai_book_stores_100_plus(1).csv,27.0,New Century Book House - Anna Salai,Anna Salai,Book Store,"Academic, Tamil, general books",Central Chennai,,,,,Known institution/brand - verify current outlet,,,,,,,,,,,,,Shopping Interest
28,Book Stores,chennai_book_stores_100_plus(1).csv,28.0,New Century Book House - T Nagar,T. Nagar,Book Store,"Academic, Tamil, general books",South/Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
29,Book Stores,chennai_book_stores_100_plus(1).csv,29.0,New Century Book House - Adyar,Adyar,Book Store,"Academic, Tamil, general books",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
30,Book Stores,chennai_book_stores_100_plus(1).csv,30.0,New Century Book House - Anna Nagar,Anna Nagar,Book Store,"Academic, Tamil, general books",West Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
31,Book Stores,chennai_book_stores_100_plus(1).csv,31.0,New Century Book House - Mylapore,Mylapore,Book Store,"Academic, Tamil, general books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
32,Book Stores,chennai_book_stores_100_plus(1).csv,32.0,New Century Book House - Velachery,Velachery,Book Store,"Academic, Tamil, general books",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
33,Book Stores,chennai_book_stores_100_plus(1).csv,33.0,New Century Book House - Tambaram,Tambaram,Book Store,"Academic, Tamil, general books",Chennai Metropolitan Area,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
34,Book Stores,chennai_book_stores_100_plus(1).csv,34.0,New Century Book House - Chromepet,Chromepet,Book Store,"Academic, Tamil, general books",Chennai Metropolitan Area,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
35,Book Stores,chennai_book_stores_100_plus(1).csv,35.0,New Century Book House - Egmore,Egmore,Book Store,"Academic, Tamil, general books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
36,Book Stores,chennai_book_stores_100_plus(1).csv,36.0,Hindustan Book Agency,T. Nagar,Book Store,"Academic, technical, professional books",South/Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
37,Book Stores,chennai_book_stores_100_plus(1).csv,37.0,Vivekananda Book House,Mylapore,Book Store,"Spiritual, philosophy, general books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
38,Book Stores,chennai_book_stores_100_plus(1).csv,38.0,Ramakrishna Math Book Store,Mylapore,Book Store,"Spiritual, philosophy, Vedanta books",Central Chennai,,,,,Known institution/brand - verify current outlet,,,,,,,,,,,,,Shopping Interest
39,Book Stores,chennai_book_stores_100_plus(1).csv,39.0,Giri Trading Agency - Mylapore,Mylapore,Book & Religious Store,"Religious books, devotional items",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
40,Book Stores,chennai_book_stores_100_plus(1).csv,40.0,Giri Trading Agency - T Nagar,T. Nagar,Book & Religious Store,"Religious books, devotional items",South/Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
41,Book Stores,chennai_book_stores_100_plus(1).csv,41.0,Giri Trading Agency - Anna Nagar,Anna Nagar,Book & Religious Store,"Religious books, devotional items",West Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
42,Book Stores,chennai_book_stores_100_plus(1).csv,42.0,Giri Trading Agency - Adyar,Adyar,Book & Religious Store,"Religious books, devotional items",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
43,Book Stores,chennai_book_stores_100_plus(1).csv,43.0,Sri Ramakrishna Math Book Centre,Mylapore,Book Store,"Spiritual, philosophy, religious books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
44,Book Stores,chennai_book_stores_100_plus(1).csv,44.0,R.S. Prakash Book Centre,T. Nagar,Book Store,"Tamil, general, academic books",South/Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
45,Book Stores,chennai_book_stores_100_plus(1).csv,45.0,Tamil Nadu Textbook Corporation,Nungambakkam,Textbook Store,"School textbooks, educational books",Central Chennai,,,,,Known institution/brand - verify current outlet,,,,,,,,,,,,,Shopping Interest
46,Book Stores,chennai_book_stores_100_plus(1).csv,46.0,Government Book House Chennai,Egmore,Book Store,"Government publications, books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
47,Book Stores,chennai_book_stores_100_plus(1).csv,47.0,National Book Trust Book Shop Chennai,Chennai,Book Store,"Indian literature, educational books",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
48,Book Stores,chennai_book_stores_100_plus(1).csv,48.0,Book Point - Nungambakkam,Nungambakkam,Book Store,"Books, stationery",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
49,Book Stores,chennai_book_stores_100_plus(1).csv,49.0,Book Point - T Nagar,T. Nagar,Book Store,"Books, stationery",South/Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
50,Book Stores,chennai_book_stores_100_plus(1).csv,50.0,Book Point - Anna Nagar,Anna Nagar,Book Store,"Books, stationery",West Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
51,Book Stores,chennai_book_stores_100_plus(1).csv,51.0,Book Point - Adyar,Adyar,Book Store,"Books, stationery",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
52,Book Stores,chennai_book_stores_100_plus(1).csv,52.0,Book Point - Velachery,Velachery,Book Store,"Books, stationery",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
53,Book Stores,chennai_book_stores_100_plus(1).csv,53.0,Book Point - Tambaram,Tambaram,Book Store,"Books, stationery",Chennai Metropolitan Area,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
