S.No,Name,Area,Address,Rating,Rating Count,Phone,Category,Entry Fee / Cover Charge Policy,Approx Cost for Two (₹),Popular For / Features
1,10 Downing Street - T Nagar,T. Nagar,"Kences Inn, 50, N Boag Rd, T. Nagar, Chennai, Tamil Nadu 600017",4.1,7352.0,+91 98405 10203,English Pub,Free Entry (Ladies Night / Couples entry preferred),2000.0,"Classic British pub style, Karaoke nights, vintage atmosphere"
2,6th Avenue Resto Bar,Anna Nagar,"S Block, Anna Nagar, Chennai, Tamil Nadu 600040",4.1,2780.0,+91 96770 96404,,,,
3,Aura - The Lounge Bar,Arumbakkam (Radha Regent),,,,,Lounge Bar,Free Entry,1800.0,"Ambient lighting, cocktail range, finger food classics"
4,Barracuda Brew,Nungambakkam,,,,,Craft Pub & Bar,Free Entry,2000.0,"Seafood fare, craft cocktails, sleek modern decor"
5,Big Bull Lounge,Nandanam,,,,,Stock Exchange / Resto-Bar,Free Entry,1800.0,"Dynamic drink pricing models, spacious seating, live DJ"
6,Black & White - The Residency,T. Nagar,,,,,Lounge Bar,Free Entry,2000.0,"Monochrome decor, classic drinks menu, relaxed ambiance"
7,Chamber Of Potions,Anna Nagar,"Plot C10, Ravilla Towers, Anna Nagar 3rd Main Rd, W Block, Anna Nagar, Chennai, Tamil Nadu 600040",4.5,485.0,+91 93601 36063,,,,
8,Crazy Ivan - Resto Bar,Thoraipakkam (OMR),"135, Survey 339/2A, Bhoomi Spectra Building, Indira Nagar, Thoraipakkam, Chennai, Tamil Nadu 600097",4.3,1981.0,+91 90030 22551,,,,
9,Dank Restobar,T. Nagar,,,,,Resto-Bar & Craft Pub,"Free Entry; Weekend cover ₹1,000 - ₹1,500",2200.0,"Rustic brick ambiance, artisanal cocktails, fusion tapas"
10,Diff 42 Resto Lounge,Velachery,,,,,Resto-Lounge & Pub,"Free Entry; Cover ₹500 - ₹1,000 on weekends",1600.0,"Sports screening, vibrant DJ music, reasonable pricing"
11,Evoke Bistro Bar And Grill,Thoraipakkam (OMR),"2nd Floor, 5/360, Old Mahabalipuram Road, Thoraipakkam, Chennai, Tamil Nadu 600097",3.8,1709.0,,,,,
12,Gatsby 2000,Alwarpet (Crowne Plaza),,,,,Nightclub / Pub,"Free for couples; Stags ₹2,000 - ₹3,000 (Full Cover)",3000.0,"DJ nights, dance floor, premium lounge, high-energy nightlife"
13,Gully Baar,Kilpauk,,,,,Casual Resto-Pub,Free Entry,1500.0,"Street-style fusion food, budget-friendly cocktails"
14,HOB (House Of Billa),Nungambakkam,,,,,Resto-Bar,Free Entry; Weekend cover applicable,1500.0,"Energetic music, movie-themed aesthetics, budget cocktails"
