Name,Category,Subcategory,Location,District,Approx_Distance_From_City_Center_km,Latitude,Longitude,Managed_By,Remarks
Arignar Anna Zoological Park,Zoo,Zoological Park,Vandalur,Chengalpattu,30,12.8796,80.0815,Tamil Nadu Forest Department,South India's largest zoo
Chennai Snake Park,Snake Park,Reptile Zoo,Guindy,Chennai,12,13.0109,80.2425,Chennai Snake Park Trust,Recognized zoo
Guindy Children's Park,Zoo,Mini Zoo,Guindy,Chennai,11,13.0105,80.2428,Tamil Nadu Forest Department,Educational zoo
Guindy National Park,Wildlife Park,National Park,Guindy,Chennai,11,13.0067,80.2418,Tamil Nadu Forest Department,Urban national park
Madras Crocodile Bank Trust,Wildlife Park,Reptile Park,East Coast Road (Mamallapuram),Chengalpattu,40,12.7287,80.2483,MCBT,Large crocodilian conservation center
VGP Marine Kingdom,Aquarium,Marine Aquarium,Injambakkam,Chennai,20,12.9159,80.2513,VGP Group,Walk-through aquarium
Faunus Park,Wildlife Park,Bird & Animal Park,Panaiyur,Chennai,25,12.8938,80.2501,Private,Interactive animal park
Pallikaranai Marsh Reserve Forest,Bird Park,Bird Sanctuary,Pallikaranai,Chennai,15,12.9493,80.1978,Tamil Nadu Forest Department,Ramsar wetland
Vedanthangal Bird Sanctuary,Bird Park,Bird Sanctuary,Vedanthangal,Chengalpattu,75,12.5444,79.8619,Tamil Nadu Forest Department,India's oldest bird sanctuary
Karikili Bird Sanctuary,Bird Park,Bird Sanctuary,Karikili,Chengalpattu,82,12.5028,79.8842,Tamil Nadu Forest Department,Adjacent to Vedanthangal
Pulicat Bird Sanctuary,Bird Park,Bird Sanctuary,Pulicat,Tiruvallur,55,13.4255,80.3213,Forest Department,Flamingo habitat
Pulicat Lake,Wildlife Park,Wetland,Pulicat,Tiruvallur,55,13.4250,80.3210,Forest Department,Important birding location
