Park Name,Location,Type,Distance from Chennai Central (km),Thrill Rides,Water Rides,Kids Rides,Food Court,Parking,Google Rating


"Wonderla Amusement Park, Chennai",Illalur,Theme & Water Park,42,18,15,10,Yes,Yes,4.4
Queensland Amusement Park,Palanjur,Theme & Water Park,30,20,12,15,Yes,Yes,4.0
MGM Dizzee World,Muttukadu (ECR),Theme & Water Park,35,15,12,12,Yes,Yes,4.0
VGP Universal Kingdom,Injambakkam,Theme & Water Park,20,12,10,15,Yes,Yes,4.0
Snow Kingdom,Injambakkam,Indoor Snow Park,20,5,0,8,Yes,Yes,4.7
SkyJumper Amusement Park,Velachery,Indoor Adventure Park,14,6,0,6,Yes,Yes,4.8
Airborne Trampoline Park,Mylapore,Indoor Trampoline Park,7,4,0,5,Yes,Yes,4.9


Wonderla Amusement Park,Illalur,Water & Theme Park,Yes,Yes,25,18,12,Yes,Yes,Yes,42,4.4
Queensland Amusement Park,Palanjur,Water & Theme Park,Yes,Yes,20,12,15,Yes,Yes,Yes,30,4.0
MGM Dizzee World,Muthukadu (ECR),Water & Theme Park,Yes,Yes,18,14,12,Yes,Yes,Yes,35,4.0
VGP Universal Kingdom,Injambakkam,Water & Theme Park,Yes,Yes,15,10,15,Yes,Yes,Yes,20,4.0
VGP Wonder World,Injambakkam,Theme Park,No,Yes,10,0,8,Yes,Yes,No,20,4.6
Snow Kingdom,Injambakkam,Indoor Snow Park,No,Yes,5,0,10,Yes,Yes,No,20,4.7
Kishkinta Theme Park,Tambaram,Water & Theme Park,Yes,Yes,15,10,10,Yes,Yes,Yes,28,3.9
Island Amusement Park,Park Town,Amusement Park,No,Yes,6,0,5,Yes,Yes,No,4,4.2


Nassaa Uth Hub - Besant Nagar,Besant Nagar,Gaming Zone,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.7
Nassaa Uth Hub - Marina Mall,Egattur (OMR),Gaming Zone,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.7
Nassaa Uth Hub - ECR,Injambakkam,Gaming Zone,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.7
TIA Gaming World,Porur,Gaming Zone,Yes,Yes,No,Yes,Yes,Yes,Yes,4.9
SkyJumper Trampoline Park,Velachery,Gaming Zone,No,No,No,No,No,No,Yes,4.8
Alchemy Gaming,Nandanam,Gaming Cafe,No,No,No,No,No,Yes,No,4.6
Elite Gamer,Thoraipakkam,Gaming Cafe,No,No,No,No,No,Yes,No,4.7
Gaming Garage,Neelankarai,Gaming Zone,Yes,Yes,No,No,No,Yes,No,4.9
Killer Zone,Chennai,Gaming Lounge,No,No,No,No,No,Yes,No,5.0
Mystery Rooms,Nungambakkam,Escape Room,No,No,Yes,No,No,No,No,4.7
Breakthru - The Real Escape Room,Nungambakkam,Escape Room,No,No,Yes,No,No,No,No,4.9
Freeing India - Nungambakkam,Nungambakkam,Escape Room,No,No,Yes,No,No,No,No,4.5
Freeing India - Besant Nagar,Besant Nagar,Escape Room,No,No,Yes,No,No,No,No,4.4
